symbol,eps_growth,recommendation_previous_dars_overall,active_status_by_frequency,subindustry,returns_potential_rating,average_days_to_recovery,recommendation_dars_yield_attractiveness,yield_fwd_rating,years_of_consecutive_div_increase_or_nochg,sector_average_forward_payout_ratio_ffo_count,consec_years_div_incr_rating,profit_growth_rating,ratio_payout_forward_for_rating,payout_next_count,annualized_dividend_growth_5yr_cy0,annualized_dividend_growth_5yr_cy1,returns_risk_rating,bds_reco,dgs_reco,avg_analyst_upside_rating,dars_dividend_growth_streak,price_change_precent,ratio_price_ffo,high_price_52_week,payout_next_ex_date,sector_average_forward_payout_ratio_ffo,short_name,previous_dars_overall,share_class,max_recovery_of_close_price_from_ex_date_less_2day,sector_average_ratio_price_earnings_fy1_count,industry,payout_ratio_rating,annualized_dividend_growth_3yr_cy0,years_of_consecutive_dividend_growth,annualized_dividend_growth_3yr_cy1,min_recovery_of_close_price_from_ex_date_less_1day,next_year_estimate_eps,dividend_annual_current,avg_recovery_of_close_price_from_ex_date_less_1day,returns_total_5_year_avg,payout_next_other_pay_date,sector_average_ratio_payout_forward_count,low_price_52_week,returns_total_10_year_avg,payout_next_percent_change,forward_payout_ratio_ffo,ratio_net_debt_ebitda_ttm,sector_average_ratio_price_ffo,payout_next_other_amount,returns_total_since_inception,payout_next_other_declared_date,low_vol_beta_rating,dividend_policy_status,payout_next_other_type,latest_recovery_of_close_price_from_ex_date_less_1day,float_short_percent_this_month_rating,forward_payout_ratio,payout_next_amount,div_growth_3yr_rating,dars_leverage,val_ratio_rating,payout_frequency,mix_of_recovered_bdc_payouts_exdate_less_2day,trailing_payout_ratio,returns_total_1_year,annualized_dividend_growth_10yr_cy1,recommendation_dars_overall,annualized_dividend_growth_10yr_cy0,hys_reco,dars_overall,payout_next_type,next_payout_estimated_status,annualized_dividend_growth_20yr_cy0,payout_next_other_qualified,payout_next_pay_date,annualized_dividend_growth_20yr_cy1,sector,returns_total_3_year_avg,div_safety_rating,pe_ratio,recommendation_dars_overall_change,no_analysts_rating,low_leverage_rating,inception_date,payout_next_declared_date,name,exchange,sector_average_ratio_price_ffo_count,last_price,sector_average_ratio_price_earnings_fy1,sector_average_ratio_payout_forward,previous_close_price,payout_next_other_ex_date,market_cap,latest_recovery_of_close_price_from_ex_date_less_2day,mix_of_recovered_bdc_payouts_exdate_less_1day,dars_yield_attractiveness,security_type,local_distribution_currency,max_recovery_of_close_price_from_ex_date_less_1day,price_as_of,ytd_return,dividend_yield_current,dps_reco,price_change_precent_of_52_week_high,avg_recovery_of_close_price_from_ex_date_less_2day,min_recovery_of_close_price_from_ex_date_less_2day,most_recent_continuity_window_payout_count,trailing_yield,analyst_reco_rating,payout_next_qualified,annualized_dividend_growth_1yr_cy0,annualized_dividend_growth_1yr_cy1,ltm_dividend,uuid
BRO,0.08769438234892152,Neutral,1,insurance-brokers,4,2.3,Avoid,1,32,155,5,5,0.13180046464057135,1,0.11542221125824614,0.09565425774785385,4,Sell,Sell,1,5,1.751072961373396,,118.8,2025-05-02T00:00:00.000+00:00,0.33813088252378487,BROWN BROWN,3.35,Commons,5,590,insurance,4,0.1240220883173544,31,0.08098386987445227,1,4.552336,0.6,1.72507,0.23331061189490265,,416,80.33,0.23281292536207432,0.0,,,7.08072703789488,,0.18248558402283654,,4,DividendActive,,1,5,0.13180046464057135,0.15,5,0,3,4,1.0,0.13180046464057135,0.4235600652257425,0.09094917447600781,Neutral,0.1024433097220836,Sell,3.35,Regular,Estimated,0.10264729457460353,,2025-05-15T00:00:00.000+00:00,0.09105865199308383,financials,0.21827265954239117,4,26.039378464155547,No change,4,4,1999-04-29,2025-04-22T00:00:00.000+00:00,"BROWN & BROWN, INC.",NYSE,626,118.54,10.611028560718779,0.28578407242187315,116.5,,33311070312,2,1.0,1,stock,USD,5,2025-02-28T19:00:00.000Z,0.16356110913879918,0.005061582588155897,Sell,-0.2188552188552073,2.32992,2,92,0.0047,4,Qualified,0.11111111111111094,0.0,0.56,BRO**stock
BMI,0.16597336975018792,Fair,1,measurement-instruments,4,1.7,Avoid,1,33,31,5,5,0.24780388363348274,1,0.14205803506360604,0.1234275325950922,5,Sell,Sell,3,5,1.2662493981704497,73.93035030517021,239.11,2025-05-23T00:00:00.000+00:00,0.24464361769996798,Badger Meter,4.0,Commons,6,389,electrical-equipment,5,0.16960709528514628,32,0.1116495706628593,1,5.488211,1.36,1.30164,0.294275142901695,,199,150.87,0.23026844315930073,0.0,0.47803583138416533,-0.84,15.958259713074508,,0.1811373721988807,,5,DividendActive,,1,3,0.24780388363348274,0.34,5,5,4,4,1.0,0.24780388363348274,0.32337056506304496,0.12203665623077575,Fair,0.13304570831141005,Sell,4.0,Regular,Estimated,0.11842932406975337,,2025-06-06T00:00:00.000+00:00,0.11470605582161508,industrials,0.3003439348481389,4,38.323963856345905,No change,4,5,1990-01-02,2025-04-25T00:00:00.000+00:00,"Badger Meter, Inc.",NYSE,253,210.33,15.712994262467086,0.2048284427261224,207.7,,6118640137,2,1.0,1,stock,USD,3,2025-02-28T19:00:00.000Z,-0.006835753347162021,0.006466029572576427,Sell,-12.036301283927898,2.49241,2,81,0.0058,4,Qualified,0.11475409836065564,0.0,1.2200000000000002,BMI**stock
RNR,0.4091258073019009,Fair,1,reinsurance,2,1.7,Avoid,1,30,155,5,3,0.04339480487702278,1,0.027066087089351765,0.021295687600135116,5,Sell,Sell,3,5,1.7252450875465564,6.306259238310491,300.0,2025-03-14T00:00:00.000+00:00,0.33813088252378487,RenaissanceRe Holdings Ltd,3.8,Commons,52,590,insurance,3,0.026327791369625153,30,0.01724476819110099,1,36.870773,1.6,14.80526,0.07765617497911603,,416,208.98,0.0970995418466798,2.564102564102564,0.04246281786590685,,7.08072703789488,,0.1419004933002206,,5,DividendIncrease,,51,4,0.04339480487702278,0.4,2,5,1,4,1.0,0.04339480487702278,0.07070921884003978,0.025816852996224604,Fair,0.029186008964760646,Sell,3.8,Regular,Declared,0.03526492384137758,,2025-03-31T00:00:00.000+00:00,0.03274246459271657,financials,0.1870172403970345,4,6.444670959298846,No change,4,5,1995-07-27,2025-02-05T00:00:00.000+00:00,RenaissanceRe Holdings Ltd.,NYSE,626,237.62,10.611028560718779,0.28578407242187315,233.59,,11504570312,52,1.0,1,stock,USD,51,2025-02-28T19:00:00.000Z,-0.044974076604638036,0.0067334399461324804,Sell,-20.79333333333333,16.81579,2,22,0.0066,4,Qualified,0.025641025641025772,0.0,1.56,RNR**stock
SPGI,0.11874617018071948,Quality,1,information-services,3,7.2,Avoid,1,53,19,5,5,0.19968518382737216,1,0.07458131835184778,0.04509579797959051,3,Sell,Sell,3,5,1.5950966955992074,61.55969893352109,545.39,2025-05-29T00:00:00.000+00:00,0.3850613118258556,S&P Global,4.6,Commons,58,522,technology-services,5,0.049698025338545726,53,0.02174590985807079,1,19.23027,3.84,8.69548,0.15920210275207847,,104,407.69,0.19045301771983425,0.0,0.4428921270744576,1.69,17.7007556374543,,0.15426866403787298,,3,DividendActive,,3,5,0.19968518382737216,0.96,3,4,5,4,1.0,0.19968518382737216,0.253476447021751,0.10305425242206989,Quality,0.11269395674088711,Sell,4.6,Regular,Estimated,0.09204205723011838,,2025-06-12T00:00:00.000+00:00,0.08685030149343986,technology,0.11943397458383509,5,27.75520052500563,No change,5,4,1990-01-02,2025-04-30T00:00:00.000+00:00,S&P Global Inc.,NYSE,133,533.74,20.835716555017687,0.24668645621659,525.36,,161705796875,4,1.0,1,stock,USD,59,2025-02-28T19:00:00.000Z,0.07364649247701127,0.007194514182935511,Sell,-2.13608610352225,10.47124,2,79,0.0068,4,Qualified,0.05494505494505497,0.0,3.64,SPGI**stock
CTAS,0.10191846723560376,Fair,1,other-commercial-services,4,3.7,Avoid,1,43,38,5,5,0.29632522529264965,1,0.548878352248495,0.12912268943319827,3,Sell,Sell,1,5,2.030781334513446,12.388680465371369,228.12,2025-05-14T00:00:00.000+00:00,0.29978448929441154,Cintas,4.5,Commons,8,489,commercial-services,5,0.14106863110398216,42,0.07664252241745673,1,5.264486,1.56,2.16369,0.26530763051994777,,200,154.15,0.2705570676153113,0.0,0.0931389953059245,1.57,8.69999158873275,,0.15949673908315454,,3,DividendActive,,3,5,0.29632522529264965,0.39,5,4,4,4,0.8462000000000001,0.29632522529264965,0.33112171164114157,0.16716779248050972,Fair,0.19508701881123258,Sell,4.5,Regular,Estimated,0.160116838949649,,2025-06-13T00:00:00.000+00:00,0.15493043802746387,consumer-discretionary,0.3187301613056268,5,39.41505400527231,No change,5,5,1994-01-03,2025-04-09T00:00:00.000+00:00,Cintas Corporation,NASDAQ,269,207.5,13.236240212324345,0.2749918344166601,203.37,,82068726562,4,0.8462000000000001,1,stock,USD,3,2025-02-28T16:00:00.000Z,0.13791058474614748,0.007518072289156626,Sell,-9.039102226898121,4.83463,2,17,0.007,3,Qualified,0.07216494845360821,0.0,1.455,CTAS**stock
PH,0.10033937164561658,Fair,1,flow-control-equipment,4,0.9,Avoid,1,70,31,5,5,0.22151906152838027,1,0.1312041414501679,0.10431104987648321,3,Sell,Sell,3,5,2.0625954198473266,31.942635270158863,718.44,2025-05-09T00:00:00.000+00:00,0.24464361769996798,PARKER-HANNIFIN,4.3,Commons,17,389,machinery,5,0.09105830520964941,69,0.04157511230764621,1,29.433133,6.52,2.11793,0.3122909937554581,,199,492.71,0.2049880911255273,0.0,0.3115375715567991,3.18,15.958259713074508,,0.1651332651753017,,3,DividendActive,,5,5,0.22151906152838027,1.63,4,3,5,4,0.8039000000000001,0.22151906152838027,0.25603105631155887,0.09972653839802881,Fair,0.09972653839802881,Sell,4.3,Regular,Estimated,0.12925499485105751,,2025-06-06T00:00:00.000+00:00,0.12190385150012006,industrials,0.3437773073861683,5,22.7128386230579,No change,5,4,1990-01-02,2025-04-25T00:00:00.000+00:00,PARKER-HANNIFIN CORPORATION,NYSE,253,668.51,15.712994262467086,0.2048284427261224,655.0,,84311882812,6,1.0,1,stock,USD,5,2025-02-28T19:00:00.000Z,0.053571728460312995,0.009753032864130678,Sell,-6.949780079060197,4.42085,2,143,0.0073,4,Qualified,0.023547880690737877,0.0,4.89,PH**stock
RLI,0.0515376958309478,Quality,1,p-c-insurance,3,1.4,Avoid,1,51,155,5,5,0.1856142175540934,1,0.047831688302757414,0.03922410156720635,5,Sell,Sell,3,5,0.6082242496363983,8.394512347670366,91.14,2025-05-30T00:00:00.000+00:00,0.33813088252378487,RLI,4.75,Commons,33,590,insurance,5,0.05223967696842058,51,0.038960786098575007,1,3.232511,0.6,6.3187,0.1738651401648852,,416,67.53,0.16213261522046585,0.0,0.06619407817850204,0.56,7.08072703789488,,0.17500271460715267,,5,DividendActive,,1,5,0.1856142175540934,0.15,3,5,3,4,1.0,0.1856142175540934,0.07238166518330891,0.04269049710290829,Quality,0.04812238946895775,Sell,4.75,Regular,Estimated,0.0691620489543352,,2025-06-20T00:00:00.000+00:00,0.05988195688150011,financials,0.1993415701815624,4,23.53897635615161,No change,4,5,1990-01-02,2025-05-02T00:00:00.000+00:00,RLI Corp.,NYSE,626,76.09,10.611028560718779,0.28578407242187315,75.63,,6953890137,2,1.0,1,stock,USD,32,2025-02-28T19:00:00.000Z,-0.07492568100467156,0.007885398869759495,Sell,-16.513056835637475,9.28564,2,144,0.0075,3,Qualified,0.05263157894736836,0.0,0.57,RLI**stock
CHD,0.07519870438553285,Fair,1,household-products,2,2.7,Avoid,1,29,29,5,5,0.29652569885201835,1,0.0421306158714021,0.03160188421894383,5,Sell,Sell,1,5,1.6732193471701549,26.182973081488033,113.5,2025-05-14T00:00:00.000+00:00,0.21852079464821791,CHURCH DWIGHT /DE/,4.5,Commons,14,141,consumer-products,4,0.03967492422959684,29,0.026798368139537176,1,3.979419,1.18,3.23382,0.11127219434269775,,73,96.35,0.11551108169525048,0.0,0.27784090140427947,2.0,11.381743196881661,,0.14668993019639087,,5,DividendActive,,6,4,0.29652569885201835,0.295,3,4,4,4,1.0,0.29652569885201835,0.12103837688447605,0.05211294923214682,Fair,0.058231586703928695,Sell,4.5,Regular,Estimated,0.1606106137210348,,2025-06-03T00:00:00.000+00:00,0.15597497533085525,consumer-staples,0.059243092242949213,4,27.943777722325798,No change,5,5,1994-01-03,2025-05-01T00:00:00.000+00:00,CHURCH & DWIGHT CO INC /DE/,NYSE,102,111.2,15.853751796257246,0.39713589774708635,109.37,,26901730469,7,1.0,1,stock,USD,13,2025-02-28T19:00:00.000Z,0.0649643687099517,0.010611510791366907,Sell,-2.026431718061672,5.04093,2,143,0.0077,3,Qualified,0.03964757709251088,0.0,0.8512500000000001,CHD**stock
SHW,0.1357067575564359,Fair,1,specialty-chemicals,4,7.2,Avoid,1,48,23,5,5,0.23112368606001624,1,0.12080151552577911,0.07510994787952185,3,Sell,Sell,3,5,1.9014936288711968,49.14976711975522,400.42,2025-03-03T00:00:00.000+00:00,0.18190611449939026,THE SHERWIN-WILLIAMS,3.8,Commons,71,222,chemicals,5,0.09603716404192131,48,0.0930094216448718,1,13.672333,3.16,10.73537,0.17065155100088725,,128,282.09,0.15365224220566986,10.48951048951049,0.42872240069127027,4.01,10.014972054279468,,0.17170380709504451,,3,DividendIncrease,,7,4,0.23112368606001624,0.79,4,2,5,4,1.0,0.23112368606001624,0.08735434720655944,0.10929461820717079,Fair,0.1346642046087001,Sell,3.8,Regular,Declared,0.13018548217732095,,2025-03-14T00:00:00.000+00:00,0.11902661741404819,materials,0.13296472107653923,4,26.496575237013317,No change,5,4,1990-01-02,2025-02-19T00:00:00.000+00:00,THE SHERWIN-WILLIAMS COMPANY,NYSE,161,362.27,12.480283385974914,0.24944291813876512,355.51,,89414382812,7,1.0,1,stock,USD,39,2025-02-28T19:00:00.000Z,0.06571941282028648,0.008722775830181908,Sell,-9.527496129064495,14.79268,2,142,0.0079,4,Qualified,0.104895104895105,0.0,2.86,SHW**stock
GWW,0.11090042846006153,Fair,1,industrial-distribution-rental,4,0.8,Avoid,1,55,31,5,5,0.18187979107690203,1,0.06660958343847101,0.0511449274221365,4,Sell,Sell,3,5,1.0178846990859887,48.356828277075365,1227.66,2025-05-09T00:00:00.000+00:00,0.24464361769996798,WW Grainger,4.25,Commons,9,389,industrial-services,5,0.06543768237836911,54,0.039513971378626556,1,45.084723,8.2,2.18796,0.31363200688815485,,199,874.98,0.17676692075331224,0.0,0.3882903534748171,1.14,15.958259713074508,,0.14723691434257158,,4,DividendActive,,1,4,0.18187979107690203,2.05,4,4,5,4,1.0,0.18187979107690203,0.04940057136416076,0.05435453935837575,Fair,0.05974192661062605,Sell,4.25,Regular,Estimated,0.1155814938993609,,2025-05-30T00:00:00.000+00:00,0.10515843739269792,industrials,0.31147945041312086,5,22.650909932395503,No change,5,5,1990-01-02,2025-04-24T00:00:00.000+00:00,"W.W. Grainger, Inc.",NYSE,253,1021.21,15.712994262467086,0.2048284427261224,1010.92,,48743230469,3,1.0,1,stock,USD,8,2025-02-28T19:00:00.000Z,-0.02924346306237169,0.008029690269386314,Sell,-16.816545297557962,3.50977,2,143,0.008,3,Qualified,0.023720349563046028,0.0,8.2,GWW**stock
